City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Cape Town,ZA,2021-08-08 18:12:37,-33.9258,18.4232,58.1,90,100,5.99,heavy intensity rain
60,Atuona,PF,2021-08-08 18:14:51,-9.8,-139.0333,77.27,80,86,19.1,light rain
61,Kodiak,US,2021-08-08 18:14:43,57.79,-152.4072,56.71,88,90,8.05,light rain
62,Jinka,ET,2021-08-08 18:15:23,5.65,36.65,69.96,56,94,1.12,overcast clouds
63,Saint George,US,2021-08-08 18:15:23,37.1041,-113.5841,99.07,17,1,1.99,clear sky
64,Soyo,AO,2021-08-08 18:15:23,-6.1349,12.3689,73.67,77,29,5.77,scattered clouds
65,Kaitangata,NZ,2021-08-08 18:15:24,-46.2817,169.8464,36.07,90,84,8.93,broken clouds
66,Chokurdakh,RU,2021-08-08 18:15:24,70.6333,147.9167,51.31,69,90,8.3,overcast clouds
67,Kruisfontein,ZA,2021-08-08 18:15:24,-34.0033,24.7314,57.88,84,90,7.38,overcast clouds
68,Airai,TL,2021-08-08 18:15:25,-8.9266,125.4092,54.3,88,38,1.66,scattered clouds
69,Upernavik,GL,2021-08-08 18:15:25,72.7868,-56.1549,41.16,88,91,4.74,overcast clouds
70,Verkh-Chebula,RU,2021-08-08 18:15:26,56.0308,87.6218,60.22,87,68,2.84,broken clouds
71,Am Timan,TD,2021-08-08 18:15:26,11.0297,20.2827,70.07,94,98,2.62,overcast clouds
72,Waipawa,NZ,2021-08-08 18:15:26,-41.4122,175.5153,43.43,60,100,27.83,overcast clouds
73,Burnie,AU,2021-08-08 18:15:27,-41.0667,145.9167,45.91,89,93,3.15,overcast clouds
74,Torbay,CA,2021-08-08 18:15:27,47.6666,-52.7314,74.88,82,75,18.41,broken clouds
75,Inhambane,MZ,2021-08-08 18:15:27,-23.865,35.3833,65.57,65,0,7.67,clear sky
76,Marsh Harbour,BS,2021-08-08 18:15:27,26.5412,-77.0636,83.86,70,10,8.23,clear sky
77,Ishinomaki,JP,2021-08-08 18:15:28,38.4167,141.3,76.17,92,80,4.79,broken clouds
78,East London,ZA,2021-08-08 18:15:28,-33.0153,27.9116,79.74,12,0,6.91,clear sky
79,Elverum,NO,2021-08-08 18:15:29,60.8819,11.5623,63.5,70,75,4.03,light rain
80,Barrow,US,2021-08-08 18:15:29,71.2906,-156.7887,39.22,92,90,8.05,overcast clouds
81,Chapais,CA,2021-08-08 18:15:29,49.7834,-74.8492,69.58,29,50,7.34,scattered clouds
82,Neiafu,TO,2021-08-08 18:15:29,-18.65,-173.9833,74.08,78,75,5.75,broken clouds
83,Bahia Blanca,AR,2021-08-08 18:15:30,-38.7196,-62.2724,55.74,32,87,11.97,overcast clouds
84,Hithadhoo,MV,2021-08-08 18:15:30,-0.6,73.0833,82.45,72,97,5.7,overcast clouds
85,Sitka,US,2021-08-08 18:15:31,57.0531,-135.33,60.69,72,90,3.44,overcast clouds
86,Ahar,IR,2021-08-08 18:15:31,38.4774,47.0699,75.34,51,73,6.33,broken clouds
87,Nishihara,JP,2021-08-08 18:15:32,26.1842,127.7558,80.26,94,40,14.97,scattered clouds
88,Rajapur,IN,2021-08-08 18:15:32,25.3833,81.15,82.67,83,100,6.49,overcast clouds
89,Velika Obarska,BA,2021-08-08 18:15:32,44.8053,19.1642,89.55,22,59,4.97,broken clouds
90,Cochrane,CA,2021-08-08 18:15:33,51.1834,-114.4687,61.86,55,90,2.3,overcast clouds
91,Kamaishi,JP,2021-08-08 18:15:33,39.2667,141.8833,76.66,98,99,9.24,overcast clouds
92,Vaini,TO,2021-08-08 18:15:33,-21.2,-175.2,60.96,94,40,2.3,scattered clouds
